SoundSet (GameSoundsFile)

Beastmaster_Boar (None)
Brewmaster_Earth (None)
Brewmaster_Fire (None)
Brewmaster_Storm (None)
cny_beast (None)
Creep_Bad_Engine (None)
Creep_Bad_Melee (None)
Creep_Bad_Melee_Mega (None)
Creep_Bad_Range (None)
Creep_Good_Engine (None)
Creep_Good_Melee (None)
Creep_Good_Melee_Mega (None)
Creep_Good_Range (None)
dota_fountain (None)
Furion_Treant (None)
Greevil (None)
Hero_DoomBringer (None)
Hero_VenomancerWard (None)
Hero_WarlockGolem (None)
Hero_WitchDoctor_Ward (None)
LoneDruid_SpiritBear (None)
Lycan_Wolf (None)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_omniknight.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_ancient_apparition.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_bane.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_ursa.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_treant.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_dark_seer.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_venomancer.vsndevts)
Miniboss_Greevil (soundevents/game_sounds_heroes/game_sounds_lina.vsndevts)
n_creep_Melee (None)
n_creep_Ranged (None)
Phoenix_Sun (None)
Pugna_NetherWard (None)
Roshan (None)
RoshanDT (soundevents/game_sounds_roshan_halloween.vsndevts)
ShadowShaman_Ward (None)
Tower.Fire (None)
Tower.Water (None)
Undying_Tombstone (None)
Undying_Zombie (None)
Visage_Familiar (None)
